dialogue_id,run_id,cell,profile_name,scenario_id,scenario_type,trigger_turn,n_turns,expected_shift,expected_family,confidence,agency_signal,n_misconceptions,zpd_estimate_len,n_hypotheses,n_hyp_validated,n_hyp_tentative,n_hyp_contradicted,mean_hyp_confidence,n_evidence,n_evidence_validated,evidence_recency,n_constraint_violations,action,action_family,strict_shift,shift_window,family_matched,graded_trigger_recognition,graded_strategy_execution,graded_strategy_quality,graded_pedagogical_coherence,graded_mean,grader_judge_model
adaptive-false_confusion_v1-1778017036855-pvon57,eval-2026-05-05-486d7d1e,cell_110,cell_110_langgraph_adaptive,false_confusion_v1,false_confusion,1,4,scope_test,substantive_engagement,0.72,questioning,0,200,0,0,0,0,,0,0,,0,mirror_and_extend,substantive_engagement,0,0,1,4,5,4,4,4.25,codex-cli.default
adaptive-false_confusion_v1__r1-1778017110289-ryreq4,eval-2026-05-05-486d7d1e,cell_110,cell_110_langgraph_adaptive,false_confusion_v1__r1,false_confusion,1,4,scope_test,substantive_engagement,0.72,questioning,0,207,0,0,0,0,,0,0,,0,mirror_and_extend,substantive_engagement,0,0,1,5,5,4,4,4.5,codex-cli.default
adaptive-false_confusion_v1__r2-1778017181356-sa71o3,eval-2026-05-05-486d7d1e,cell_110,cell_110_langgraph_adaptive,false_confusion_v1__r2,false_confusion,1,4,scope_test,substantive_engagement,0.82,questioning,0,228,0,0,0,0,,0,0,,0,mirror_and_extend,substantive_engagement,0,0,1,4,5,4,4,4.25,codex-cli.default
adaptive-polite_false_mastery_v1-1778017264499-q0tkx6,eval-2026-05-05-486d7d1e,cell_110,cell_110_langgraph_adaptive,polite_false_mastery_v1,polite_false_mastery,1,4,ask_diagnostic_question,diagnostic,0.62,compliant,3,215,0,0,0,0,,0,0,,0,ask_diagnostic_question,diagnostic,1,1,1,4,5,4,4,4.25,codex-cli.default
adaptive-polite_false_mastery_v1__r1-1778017336572-4thsgr,eval-2026-05-05-486d7d1e,cell_110,cell_110_langgraph_adaptive,polite_false_mastery_v1__r1,polite_false_mastery,1,4,ask_diagnostic_question,diagnostic,0.62,compliant,3,208,0,0,0,0,,0,0,,0,ask_diagnostic_question,diagnostic,1,1,1,4,5,4,3,4,codex-cli.default
adaptive-polite_false_mastery_v1__r2-1778017418009-x2v004,eval-2026-05-05-486d7d1e,cell_110,cell_110_langgraph_adaptive,polite_false_mastery_v1__r2,polite_false_mastery,1,4,ask_diagnostic_question,diagnostic,0.62,compliant,3,251,0,0,0,0,,0,0,,0,ask_diagnostic_question,diagnostic,1,1,1,4,4,3,2,3.25,codex-cli.default
adaptive-resistance_to_insight_v1-1778017510143-2z7lvw,eval-2026-05-05-486d7d1e,cell_110,cell_110_langgraph_adaptive,resistance_to_insight_v1,resistance_to_insight,1,4,scope_test,substantive_engagement,0.72,questioning,1,287,0,0,0,0,,0,0,,0,pose_counterexample,substantive_engagement,0,0,1,5,5,5,5,5,codex-cli.default
adaptive-resistance_to_insight_v1__r2-1778017644239-twi8ld,eval-2026-05-05-486d7d1e,cell_110,cell_110_langgraph_adaptive,resistance_to_insight_v1__r2,resistance_to_insight,1,4,scope_test,substantive_engagement,0.72,questioning,1,301,0,0,0,0,,0,0,,0,mirror_and_extend,substantive_engagement,0,1,1,3,4,4,4,3.75,codex-cli.default
adaptive-answer_seeking_to_productive_struggle_v1-1778017741495-kfxge3,eval-2026-05-05-486d7d1e,cell_110,cell_110_langgraph_adaptive,answer_seeking_to_productive_struggle_v1,answer_seeking_to_productive_struggle,2,5,withhold_answer,scaffolding,0.85,resistant,4,382,0,0,0,0,,0,0,,0,withhold_answer,scaffolding,1,1,1,4,5,4,4,4.25,codex-cli.default
adaptive-answer_seeking_to_productive_struggle_v1__r1-1778017837315-cumq9j,eval-2026-05-05-486d7d1e,cell_110,cell_110_langgraph_adaptive,answer_seeking_to_productive_struggle_v1__r1,answer_seeking_to_productive_struggle,2,5,withhold_answer,scaffolding,0.82,collaborative,3,371,0,0,0,0,,0,0,,0,withhold_answer,scaffolding,1,1,1,4,4,4,3,3.75,codex-cli.default
adaptive-answer_seeking_to_productive_struggle_v1__r2-1778017944989-lk1df7,eval-2026-05-05-486d7d1e,cell_110,cell_110_langgraph_adaptive,answer_seeking_to_productive_struggle_v1__r2,answer_seeking_to_productive_struggle,2,5,withhold_answer,scaffolding,0.85,resistant,5,340,0,0,0,0,,0,0,,0,pose_counterexample,substantive_engagement,0,1,0,5,4,4,4,4.25,codex-cli.default
adaptive-metaphor_boundary_case_v1-1778018088798-car1aq,eval-2026-05-05-486d7d1e,cell_110,cell_110_langgraph_adaptive,metaphor_boundary_case_v1,metaphor_boundary_case,2,5,name_the_disagreement,substantive_engagement,0.6,questioning,2,520,0,0,0,0,,0,0,,1,mirror_and_extend,substantive_engagement,0,0,1,5,4,4,4,4.25,codex-cli.default
adaptive-metaphor_boundary_case_v1__r1-1778018214539-c5gj5y,eval-2026-05-05-486d7d1e,cell_110,cell_110_langgraph_adaptive,metaphor_boundary_case_v1__r1,metaphor_boundary_case,2,5,name_the_disagreement,substantive_engagement,0.82,questioning,3,355,0,0,0,0,,0,0,,0,pose_counterexample,substantive_engagement,0,1,1,4,4,5,4,4.25,codex-cli.default
adaptive-metaphor_boundary_case_v1__r2-1778018356297-miiuov,eval-2026-05-05-486d7d1e,cell_110,cell_110_langgraph_adaptive,metaphor_boundary_case_v1__r2,metaphor_boundary_case,2,5,name_the_disagreement,substantive_engagement,0.63,collaborative,3,358,0,0,0,0,,0,0,,0,scope_test,substantive_engagement,0,1,1,5,5,4,4,4.5,codex-cli.default
adaptive-affective_shutdown_v1-1778018476648-o5oiid,eval-2026-05-05-486d7d1e,cell_110,cell_110_langgraph_adaptive,affective_shutdown_v1,affective_shutdown,2,5,acknowledge_and_redirect,repair_affective,0.74,collaborative,4,358,0,0,0,0,,0,0,,0,acknowledge_and_redirect,repair_affective,1,1,1,4,4,4,3,3.75,codex-cli.default
adaptive-affective_shutdown_v1__r1-1778018603546-cjasjj,eval-2026-05-05-486d7d1e,cell_110,cell_110_langgraph_adaptive,affective_shutdown_v1__r1,affective_shutdown,2,5,acknowledge_and_redirect,repair_affective,0.72,collaborative,3,331,0,0,0,0,,0,0,,0,mirror_and_extend,substantive_engagement,0,1,0,4,4,3,3,3.5,codex-cli.default
adaptive-affective_shutdown_v1__r2-1778018718068-p1tc9b,eval-2026-05-05-486d7d1e,cell_110,cell_110_langgraph_adaptive,affective_shutdown_v1__r2,affective_shutdown,2,5,acknowledge_and_redirect,repair_affective,0.78,collaborative,3,256,0,0,0,0,,0,0,,1,acknowledge_and_redirect,repair_affective,1,1,1,4,4,4,3,3.75,codex-cli.default
adaptive-repair_after_misrecognition_v1-1778018830491-pd87d5,eval-2026-05-05-486d7d1e,cell_110,cell_110_langgraph_adaptive,repair_after_misrecognition_v1,repair_after_misrecognition,2,5,repair_misrecognition,repair_affective,0.82,questioning,0,386,0,0,0,0,,0,0,,0,ask_diagnostic_question,diagnostic,0,1,0,5,4,4,3,4,codex-cli.default
